Linear Space,Unit,Transport Person/ employee,"Diesel, at refinery","Transport, barge, average fuel mix","Transport, combination truck, average fuel mix","Transport, ocean freighter, average fuel mix","Transport, pipeline, unspecified petroleum products","Transport, train, diesel powered","Crude oil, extracted","Electricity, at grid (US, 2010)","Liquefied petroleum gas, combusted in industrial boiler","Natural gas, combusted in industrial boiler","Residual fuel oil, combusted in industrial boiler","Transport, barge, diesel powered","Transport,barge, residual fuel oil powered","Transport, ocean freighter, diesel powered","Transport, ocean freighter, residual fuel oil","Transport, pipeline, unspecified petroleum products","Bitumen, at refinery","Gasoline, at refinery","Kerosene, at refinery","Liquefied petroleum gas, at refinery","Petroleum coke, at refinery","Petroleum refinery coproduct, at refinery","Petroleum refining, at refinery","Refinery gas, at refinery","Residual fuel oil, at refinery","Diesel, combusted in industrial boiler/equipment","Gasoline, combusted in equipment","Electricity, bituminous coal, at power plant","Electricity, diesel, at power plant","Electricity, lignite coal, at power plant","Electricity, natural gas, at power plant","Electricity, nuclear, at power plant","Electricity, residual fuel oil, at power plant","Transport, combination truck, diesel powered","Natural gas, processed, at plant","Natural gas, extracted","Bituminous coal, at mine [from row 30]","Lignite coal, at surface mine [row 32]","Lignite coal, combusted in industrial boiler[row 32]","Fuel grade uranium, at regional storage [row 34]","Bituminous coal, combusted in industrial boiler[34]"
Transport Person/employee,p*km,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diesel, at refinery",m^3,-0.0042769,0.2523,0,0,0,0,-0.006482,0,0,0,0,0,-0.009593,0,-0.004926,0,0,-0.018651305,-0.286066968,-0.056450682,-0.024627551,-0.029901299,-0.025816779,-0.501783842,-0.030694118,-0.026007457,-1,0,0,-0.3326,0,0,0,0,-0.02722,0,0,0,0,0,0,0
"Transport, barge, average fuel mix",t*km,-0.001334,0,1,0,0,0,0,0,0,-0.02843,0,-0.02843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84E-02,-2.84E-02,-0.05595,-0.0094539,0,0,0,-0.007487,0,0,0,0,0,0,0,-0.1266
"Transport, combination truck, average fuel mix",t*km,-0.001379,0,0,1,0,0,0,0,0,-0.005245,-0.1985,-0.005245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25E-03,-5.25E-03,-0.0029869,-0.001745,-0.008609,-0.05921,0,-0.001382,0,0,0,0,0,-0.01101,-27.9,-0.006759
"Transport, ocean freighter, average fuel mix",t*km,-0.009426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport, pipeline, unspecified petroleum products",t*km,-0.0139,0,0,0,0,1,0,0,0,-0.04131,-1.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.13E-02,-4.13E-02,0,-0.01374,0,-0.3537,0,0,0,0,0,0,0,0,0,0
"Transport, train, diesel powered",t*km,-0.0025729,0,0,0,0,0,1,0,0,-0.0033549,-0.011859,-0.0033549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35E-03,-3.35E-03,-0.4608,-0.001116,-0.0008055,-0.0035369,0,-0.00088379,0,0,0,0,0,-0.00103,0,-1.043
"Crude oil, extracted",kg,0,-1.018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity, at grid (US, 2010)",MJ,0,-0.14309,0,0,0,-0.0149,0,-0.03901,1,0,0,0,0,0,0,0,-0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015719,-0.039,-0.0387,-0.0533,0,-4080,0
"Liquefied petroleum gas, combusted in industrial boiler",m^3,0,-0.001149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural gas, combusted in industrial boiler",m^3,0,-0.01111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02548,-0.032799,-0.00016199,-0.000251,0,-184,0
"Residual fuel oil, combusted in industrial boiler",m^3,0,-0.027229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00003653,-0.00079799,-0.00086999,-0.00145,0,-0.11099,0
"Transport, barge, diesel powered",t*km,0,-0.0002881,-0.22,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport,barge, residual fuel oil powered",t*km,0,-0.00095809,-0.78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport, ocean freighter, diesel powered",t*km,0,-0.48989,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.89,0
"Transport, ocean freighter, residual fuel oil",t*km,0,-4.409,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0
"Transport, pipeline, unspecified petroleum products",t*km,0,-0.6522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bitumen, at refinery",kg,0,0.03717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasoline, at refinery",m^3,0,0.5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5701,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kerosene, at refinery",m^3,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liquefied petroleum gas, at refinery",m^3,0,0.04908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroleum coke, at refinery",kg,0,0.05959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroleum refinery coproduct, at refinery",kg,0,0.05145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroleum refining, at refinery",kg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Refinery gas, at refinery",m^3,0,0.06117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residual fuel oil, at refinery",m^3,0,0.05183,0,0,0,0,0,0,0,0,0,1,0,-0.008816,0,-0.004926,0,0,0,0,0,0,0,0,0,0.05183,0,0,0,0,0,0,0,-0.26339,0,0,0,0,0,0,0,0
"Diesel, combusted in industrial boiler/equipment",m^3,0,0,0,0,0,0,0,-0.001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.000037,-0.00129,0,-0.015,0,-20.6,0
"Gasoline, combusted in equipment",m^3,0,0,0,0,0,0,0,-0.0006842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.00003509,-0.000684,0,-0.0014099,0,0,0
"Electricity, bituminous coal, at power plant",MJ,0,0,0,0,0,0,0,0,-0.41149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity, diesel, at power plant",MJ,0,0,0,0,0,0,0,0,-0.01245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity, lignite coal, at power plant",MJ,0,0,0,0,0,0,0,0,-0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Electricity, natural gas, at power plant",MJ,0,0,0,0,0,0,0,0,-0.2446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Electricity, nuclear, at power plant",MJ,0,0,0,0,0,0,0,0,-0.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Electricity, residual fuel oil, at power plant",MJ,0,0,0,0,0,0,0,0,-0.003532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Transport, combination truck, diesel powered",t*km,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Natural gas, processed, at plant",m^3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2983,0,0,0,1,0,0,0,0,0,0
"Natural gas, extracted",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7409,1,0,0,0,0,0
"Bituminous coal, at mine [from row 30]",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1
"Lignite coal, at surface mine [row 32]",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7821,0,0,0,0,,0,0,1,-1,0,0
"Lignite coal, combusted in industrial boiler[row 32]",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-0.00036199,1,0,0
"Fuel grade uranium, at regional storage [row 34]",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0389E-06,0,0,,0,0,0,0,1,0
"Bituminous coal, combusted in industrial boiler[34]",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-22.7,1
